Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/util/FixedField;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;4;1;0;5;4;6;4;1;4;2.0;4;0.0;0;0.0;0.5833333333333334;0;0;0.0
org/apache/poi/dev/RecordGenerator;0;2;1;0.02515723270440251;0.9766397124887691;79;1.9874213836477983;77.15453728661277;;3;1;0;0;7;3;0;0;2;2.0;39;0.0;0;0.0;0.3333333333333333;0;0;12.0
org/apache/poi/hpsf/NoSingleSectionException;0;1;1;0.02515723270440251;0.9766397124887691;70;1.7610062893081757;68.36477987421384;;4;5;0;2;8;6;1;1;4;2.0;20;0.0;0;1.0;0.6666666666666666;0;0;4.0
org/apache/poi/hssf/record/HideObjRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;11;2;0;4;21;49;1;3;9;1.0;107;0.2;0;0.6;0.5227272727272727;1;6;8.272727272727273
org/apache/poi/hssf/usermodel/HSSFSheet;3;8;4;0.07637017070979335;3.9469901168014374;852;17.299191374663067;836.654986522911;;93;1;0;38;235;202;14;25;79;0.9286684782608695;1380;0.4375;3;0.0;0.14492753623188406;0;0;13.666666666666666
org/apache/poi/ddf/EscherDgRecord;0;2;1;0.02515723270440251;0.9766397124887691;15;0.37735849056603765;14.649595687331537;;13;2;0;6;30;34;1;5;13;0.8541666666666666;179;0.5;0;0.6129032258064516;0.3230769230769231;1;5;12.461538461538462
org/apache/poi/hssf/record/AxisOptionsRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;44;2;0;6;61;312;1;5;42;0.8604651162790697;931;0.9444444444444444;8;0.22641509433962265;0.32727272727272727;1;6;19.75
org/apache/poi/hssf/record/HeaderRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;14;2;0;8;26;69;4;4;12;0.7435897435897437;186;0.6666666666666666;0;0.5217391304347826;0.32142857142857145;1;6;12.071428571428571
org/apache/poi/hssf/record/StyleRecord;1;2;2;0.02605570530098833;1.9559748427672956;112;1.72596585804133;109.50494159928124;;24;2;0;6;39;204;1;5;21;0.8826086956521739;415;0.7;1;0.36363636363636365;0.2986111111111111;1;6;15.875
org/apache/poi/poifs/filesystem/DocumentNode;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;9;2;0;9;17;30;3;7;6;0.75;55;1.0;1;0.5294117647058824;0.4074074074074074;1;1;5.0
org/apache/poi/hssf/record/FontBasisRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;20;2;0;5;32;114;1;4;18;0.7894736842105263;355;0.8333333333333334;0;0.41379310344827586;0.45;1;6;16.45
org/apache/poi/hssf/usermodel/StaticFontMetrics;0;2;1;0.02515723270440251;0.9766397124887691;16;0.40251572327044016;15.626235399820306;;3;1;0;2;24;1;1;1;1;0.75;119;1.0;0;0.0;0.5;0;0;38.0
org/apache/poi/hssf/record/AxisParentRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;20;2;0;5;35;114;1;4;18;0.8552631578947368;357;0.625;0;0.41379310344827586;0.45;1;6;16.45
